operation_name,note,aliases
1-я междурядная культивация,"На всех культурах кроме пшеницы, ячменя",
2-я междурядная культивация,"На всех культурах кроме пшеницы, ячменя",
Боронование довсходовое,,
Внесение минеральных удобрений,,
Выравнивание зяби,,
2-е Выравнивание зяби,,
Гербицидная обработка,"На свекле их 4 шт, на остальных культурах 1",
1 Гербицидная обработка,"На свекле их 4 шт, на остальных культурах 1",
2 Гербицидная обработка,"На свекле их 4 шт, на остальных культурах 1",
3 Гербицидная обработка,"На свекле их 4 шт, на остальных культурах 1",
4 Гербицидная обработка,"На свекле их 4 шт, на остальных культурах 1",
Дискование,,
Дискование 2-е,,
Инсектицидная обработка,,
Культивация,,
Пахота,,
Подкормка,,
Предпосевная культивация,,
Прикатывание посевов,,
Сев,,
Сплошная культивация,,
Уборка,,
Функицидная обработка,,
Чизлевание,,
